world_rank,institution,country
1,Harvard University,USA
2,Massachusetts Institute of Technology,USA
3,Stanford University,USA
4,University of Cambridge,United Kingdom
5,University of Oxford,United Kingdom
6,Columbia University,USA
7,Princeton University,USA
8,"University of California, Berkeley",USA
9,University of Pennsylvania,USA
10,University of Chicago,USA
11,California Institute of Technology,USA
12,Yale University,USA
13,University of Tokyo,Japan
14,Cornell University,USA
15,Northwestern University,USA
16,"University of California, Los Angeles",USA
17,"University of Michigan, Ann Arbor",USA
18,Johns Hopkins University,USA
19,University of Washington - Seattle,USA
20,University of Illinois at Urbana??hampaign,USA
21,Kyoto University,Japan
22,University College London,United Kingdom
23,Duke University,USA
24,University of Toronto,Canada
25,University of Wisconsin??adison,USA
26,New York University,USA
27,University of California San Diego,USA
28,Imperial College London,United Kingdom
29,ETH Zurich,Switzerland
30,McGill University,Canada
31,University of Texas at Austin,USA
32,?cole Polytechnique,France
33,Seoul National University,South Korea
34,"University of California, San Francisco",USA
35,Sorbonne University,France
36,University of North Carolina at Chapel Hill,USA
37,University of Edinburgh,United Kingdom
38,University of Minnesota - Twin Cities,USA
39,University of Copenhagen,Denmark
40,University of Texas Southwestern Medical Center,USA
41,Washington University in St. Louis,USA
42,Karolinska Institute,Sweden
43,?cole normale sup?rieure,France
44,University of Southern California,USA
45,Brown University,USA
46,Vanderbilt University,USA
47,Pennsylvania State University,USA
48,Rutgers University??ew Brunswick,USA
49,Dartmouth College,USA
50,"University of California, Davis",USA
51,Ludwig Maximilian University of Munich,Germany
52,University of British Columbia,Canada
53,University of Virginia,USA
54,Ohio State University,USA
55,King's College London,United Kingdom
56,University of Oslo,Norway
57,University of Colorado Boulder,USA
58,Weizmann Institute of Science,Israel
59,Peking University,China
60,University of Manchester,United Kingdom
61,Purdue University,USA
62,Hebrew University of Jerusalem,Israel
63,University of Pittsburgh,USA
64,University of Melbourne,Australia
65,"University of California, Irvine",USA
66,"University of California, Santa Barbara",USA
67,Rockefeller University,USA
68,University of Zurich,Switzerland
69,University of Arizona,USA
70,Tsinghua University,China
71,Free University of Berlin,Germany
72,Heidelberg University,Germany
73,Utrecht University,Netherlands
74,Boston University,USA
75,National Taiwan University,Taiwan
76,Technical University of Munich,Germany
77,University of Bristol,United Kingdom
78,Paris-Sud University,France
79,?cole Polytechnique F?d?rale de Lausanne,Switzerland
80,Osaka University,Japan
81,University of Florida,USA
82,Georgia Institute of Technology,USA
83,University of Utah,USA
84,Carnegie Mellon University,USA
85,National University of Singapore,Singapore
86,Keio University,Japan
87,"Texas A&M University, College Station",USA
88,Paris Diderot University,France
89,University of Alberta,Canada
90,Emory University,USA
91,University of Groningen,Netherlands
92,Leiden University,Netherlands
93,University of Texas MD Anderson Cancer Center,USA
94,Tufts University,USA
95,Aarhus University,Denmark
96,University of Chinese Academy of Sciences,China
97,University of Rochester,USA
98,Erasmus University Rotterdam,Netherlands
99,"University of Maryland, College Park",USA
100,University of Sydney,Australia
101,Humboldt University of Berlin,Germany
102,Monash University,Australia
103,Uppsala University,Sweden
104,University of T?bingen,Germany
105,University of Montreal,Canada
106,University of Basel,Switzerland
107,University of Amsterdam,Netherlands
108,Australian National University,Australia
109,Rice University,USA
110,Tokyo Institute of Technology,Japan
