University,Country,Rank
"
",World Rank,"
"
1,Harvard University,USA
2,Massachusetts Institute of Technology,USA
3,Stanford University,USA
4,University of Cambridge,United Kingdom
5,University of Oxford,United Kingdom
6,Princeton University,USA
7,University of Chicago,USA
8,Columbia University,USA
9,University of Pennsylvania,USA
10,California Institute of Technology,USA
11,Yale University,USA
12,"University of California, Berkeley",USA
13,University of Tokyo,Japan
14,Cornell University,USA
15,"University of Michigan, Ann Arbor",USA
16,Johns Hopkins University,USA
17,Northwestern University,USA
18,"University of California, Los Angeles",USA
19,PSL University,France
20,Duke University,USA
21,University College London,United Kingdom
22,University of Illinois at Urbana–Champaign,USA
23,New York University,USA
24,University of Toronto,Canada
25,University of Washington,USA
26,Kyoto University,Japan
27,University of Wisconsin–Madison,USA
28,McGill University,Canada
29,ETH Zurich,Switzerland
30,Imperial College London,United Kingdom
31,Seoul National University,South Korea
32,Paris-Saclay University,France
33,University of Texas at Austin,USA
34,"University of California, San Diego",USA
35,"University of California, San Francisco",USA
36,University of Copenhagen,Denmark
37,Karolinska Institute,Sweden
38,Sorbonne University,France
39,University of North Carolina at Chapel Hill,USA
40,King's College London,United Kingdom
41,Dartmouth College,USA
42,Paris City University,France
43,Institut Polytechnique de Paris,France
44,Ludwig Maximilian University of Munich,Germany
45,University of Edinburgh,United Kingdom
46,Washington University in St. Louis,USA
47,Tsinghua University,China
48,University of Minnesota - Twin Cities,USA
49,University of British Columbia,Canada
50,University of Southern California,USA
51,Peking University,China
52,Vanderbilt University,USA
53,Pennsylvania State University,USA
54,"University of California, Davis",USA
55,Rockefeller University,USA
56,Free University of Berlin,Germany
57,Rutgers University,USA
58,University of Melbourne,Australia
59,Ohio State University,USA
60,University of Manchester,United Kingdom
61,Humboldt University of Berlin,Germany
62,"Texas A&M University, College Station",USA
63,University of Chinese Academy of Sciences,China
64,University of Zurich,Switzerland
65,Purdue University,USA
66,Brown University,USA
67,Hebrew University of Jerusalem,Israel
68,Georgia Institute of Technology,USA
69,University of Colorado Boulder,USA
70,Heidelberg University,Germany
71,University of Virginia,USA
72,University of Texas Southwestern Medical Center,USA
73,Utrecht University,Netherlands
74,Weizmann Institute of Science,Israel
75,University of Pittsburgh,USA
76,"University of Maryland, College Park",USA
77,University of Alberta,Canada
78,University of Oslo,Norway
79,Technical University of Munich,Germany
80,Shanghai Jiao Tong University,China
81,"University of California, Irvine",USA
82,University of Birmingham,United Kingdom
83,University of Amsterdam,Netherlands
84,University of Florida,USA
85,National University of Singapore,Singapore
86,Carnegie Mellon University,USA
87,Leiden University,Netherlands
88,Uppsala University,Sweden
89,University of Göttingen,Germany
90,"University of California, Santa Barbara",USA
91,University of Rochester,USA
92,Osaka University,Japan
93,University of Arizona,USA
94,University of Bristol,United Kingdom
95,Erasmus University Rotterdam,Netherlands
96,National Taiwan University,Taiwan
97,Zhejiang University,China
98,University of Sydney,Australia
99,Boston University,USA
100,Keio University,Japan
101,École Polytechnique Fédérale de Lausanne,Switzerland
102,Fudan University,China
103,University of São Paulo,Brazil
104,University of Leeds,United Kingdom
105,University of Groningen,Netherlands
